"";"[0,5)";"[5,10)";"[10,15)";"[15,20)";"[20,25)";"[25,30)";"[30,35)";"[35,40)";"[40,45)";"[45,50)";"[50,55)";"[55,60)";"[60,65)";"[65,70)";"[70,75)";"75+"
"1";3,41569426120668e-07;4,09571988662643e-08;5,54979919547994e-09;1,09379975780954e-08;2,69668363195284e-09;3,05122685526269e-08;2,2735230632116e-08;3,14839517552523e-08;1,13875043187548e-08;7,91486285348162e-09;0;2,68263024813686e-09;3,36831542225994e-09;1,94638734451163e-09;2,25119555930965e-09;0
"2";4,09571988662643e-08;1,42783638816448e-06;9,85585182038172e-08;2,53379723500871e-08;1,11733460836429e-08;2,674538190903e-08;3,87619799334543e-08;4,19388328085888e-08;2,92504515883546e-08;2,33632816173569e-08;2,171088422043e-08;1,14905618104513e-08;2,80198643187344e-08;1,04132211921047e-08;0;0
"3";5,54979919547994e-09;9,85585182038172e-08;1,27436777729947e-06;1,14360870141139e-07;6,27904277047843e-09;2,44267426839878e-08;2,10016975293802e-08;5,21704629105134e-08;3,89933391336636e-08;2,33632816173569e-08;1,89970236928763e-08;1,37327813357159e-08;3,13715652073229e-09;9,68667659919112e-09;0;0
"4";1,09379975780954e-08;2,53379723500871e-08;1,14360870141139e-07;9,21811236813993e-07;3,57304009279719e-08;3,17289996190363e-08;1,8104831619731e-08;1,88319458798485e-08;1,02362725162296e-08;2,69241523483846e-08;9,22712579368276e-09;8,54617365158259e-09;3,0475234772828e-09;0;1,14870851964715e-08;0
"5";2,69668363195284e-09;1,11733460836429e-08;6,27904277047843e-09;3,57304009279719e-08;1,17237178236594e-07;2,25867454915173e-09;8,2361369997339e-09;5,4179000200018e-09;1,19074495162172e-08;2,12582937107083e-09;2,34587943907189e-09;2,17275601311422e-09;3,88159007629576e-09;3,13401352082381e-09;0;0
"6";3,05122685526269e-08;2,674538190903e-08;2,44267426839877e-08;3,17289996190363e-08;2,25867454915173e-09;1,80693963932139e-08;8,13501661036164e-09;1,29350866247623e-08;1,62120477726032e-08;4,25165874214166e-09;0;2,4678110814806e-09;0;0;0;0
"7";2,2735230632116e-08;3,87619799334543e-08;2,10016975293802e-08;1,8104831619731e-08;8,2361369997339e-09;8,13501661036164e-09;1,59988660003779e-08;1,21225555291878e-08;1,84894729164175e-08;6,45372597256514e-09;1,8180529545884e-09;2,13654341289565e-09;1,17568478155644e-08;7,52590940669283e-09;0;0
"8";3,14839517552524e-08;4,19388328085888e-08;5,21704629105135e-08;1,88319458798485e-08;5,4179000200018e-09;1,29350866247623e-08;1,21225555291878e-08;2,13104067453404e-08;1,14806473888648e-08;9,10439158373208e-09;0;1,83132292533913e-09;1,6815465388876e-08;1,31757946026894e-08;0;0
"9";1,13875043187548e-08;2,92504515883546e-08;3,89933391336636e-08;1,02362725162296e-08;1,19074495162172e-08;1,62120477726032e-08;1,84894729164175e-08;1,14806473888648e-08;1,73356228097437e-08;6,00013079950592e-09;1,09787298885029e-08;6,20286797292284e-09;3,25699580061852e-09;0;0;1,75783112889005e-09
"10";7,91486285348162e-09;2,33632816173569e-08;2,33632816173569e-08;2,69241523483846e-08;2,12582937107083e-09;4,25165874214166e-09;6,45372597256514e-09;9,10439158373208e-09;6,00013079950592e-09;9,12174057404938e-09;9,44982917806133e-09;4,65344005619755e-09;6,7097249220481e-09;0;0;0
"11";0;2,171088422043e-08;1,89970236928763e-08;9,22712579368276e-09;2,34587943907189e-09;0;1,8180529545884e-09;0;1,09787298885029e-08;9,44982917806133e-09;0;1,03323392724112e-08;0;0;0;0
"12";2,68263024813686e-09;1,14905618104513e-08;1,37327813357159e-08;8,54617365158258e-09;2,17275601311422e-09;2,4678110814806e-09;2,13654341289565e-09;1,83132292533913e-09;6,20286797292284e-09;4,65344005619755e-09;1,03323392724112e-08;0;1,9423121935415e-09;9,49574850175843e-09;0;0
"13";3,36831542225994e-09;2,80198643187344e-08;3,13715652073229e-09;3,0475234772828e-09;3,88159007629576e-09;0;1,17568478155644e-08;1,6815465388876e-08;3,25699580061852e-09;6,7097249220481e-09;0;1,9423121935415e-09;0;2,80161814740311e-09;0;0
"14";1,94638734451163e-09;1,04132211921047e-08;9,68667659919112e-09;0;3,13401352082381e-09;0;7,52590940669283e-09;1,31757946026894e-08;0;0;0;9,49574850175843e-09;2,8016181474031e-09;0;0;0
"15";2,25119555930965e-09;0;0;1,14870851964715e-08;0;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;0;0;0;1,75783112889005e-09;0;0;0;0;0;0;0
